,Tanggal,Pengguna,Tweet,Sentimen
0,2023-02-14 14:34:29,ktaehyun__g,_ID tolong cek dm min,Netral
1,2023-02-14 14:32:53,sweebypie,ini aku 11kg karena kena volume. harusnya 8kg kalau ga kena. jne asu bgt ya AllahğŸ˜”,Netral
2,2023-02-14 14:25:21,doyok__31,_ID Kapan sampe nya ke rumah saya ya,Netral
3,2023-02-14 14:24:32,kafie_ribedz,"Hai admin, masih di ngirim paket di jne rawakuning? Hehehe",Netral
4,2023-02-14 14:16:59,asiaticakjw,jne cargo emg mahal nder klo mau yg murah cb pake sentral kargo ğŸ‘ğŸ¼ğŸ‘ğŸ¼,Netral
5,2023-02-14 14:05:57,JNECare,"Sama-sama kak, Terima kasih telah menggunakan layanan JNE tetap setia menggunakan jasa JNE ya kak :) Thanks - Ari -",Positif
6,2023-02-14 14:04:31,FicoFey,"Iya e, akhire kyknya tetep pake JNE ato pos kilat",Netral
7,2023-02-14 14:02:56,hmmitha,jne ga jls anjir,Netral
8,2023-02-14 14:02:53,JNE_RPW,FORMAT! #JNEConfess for : -uname tujuan- -isi mention confess- -nama pena-,Netral
9,2023-02-14 13:57:56,Trililililily,"Nmax diserempet mobil box jne, untung kaga tumbang hamba yawlaaa..",Netral
10,2023-02-14 13:56:55,DoYourThangWhMe,"RT : wts skintific mugwort clay stick new (baru), ori, masih segel ğŸ’¸ 75.000 yaaa dijual karena salah beli + lg bu:"" ğŸ“Œpengiriâ€¦",Positif
11,2023-02-14 13:54:18,ikul101,"Hadeh bener"" Dah udh 6 hari ga nyampe"", barang stuck disitu"" Aja, padahal tinggal dikirim ke rumah gua doang itu, ga lagi"" Dah pake jne https://t.co/xNgbiHKtSD",Netral
12,2023-02-14 13:53:58,JoPermadi,"_ar Ya bs juga bgt ,klu komparasinya ke kurir spt jne , tp ke kurir lain ya tetap ga bs bersaing om dgn tarif yg semi subsidi bakar duit, langkah yg ga bs diikuti pos indo.",Netral
13,2023-02-14 13:51:32,sweebypie,udah kayak ngirim ke luar negeri aja jne monyet,Netral
14,2023-02-14 13:45:39,JNE_DPS,Halo warga BaliğŸŒ¸!! Mau kirim paket tapi bayar ongkirnya ditempat tujuan? Bisa banget dong di JNE!!ğŸ¤©ğŸ¤©JNE ada layanan COD Ongkir yang bisa langsung #TemanJNE gunakan lohh.... Cuss langsung ke Kantor JNE terdekat !!! Kirim paket? JNE ajaağŸ¥° #JNE #ConnectingHappiness #JNE32Tahun https://t.co/gQs9iFXE1p,Netral
15,2023-02-14 13:31:44,DannyWorsnopRP_,"Di Jual jersey seharga 125rb sudah ongkir via JNE, kalau mau COD di Lbk.Bulus , Ciputat, Depok (Nama dan Nomor punggung cp : 081314406127)",Netral
16,2023-02-14 13:25:05,tonhes,_chnle jne dongs,Netral
17,2023-02-14 13:20:26,tokonadila,Bukti Nomor Resi JNE &amp; Paket Yang Sudah Sampai ğŸšš Jasa pengiriman via JNE. ğŸ§ Pembayaran via transfer. ğŸš« Kami tidak melayani COD ğŸ™ğŸ» â˜ 0821 3301 5657 Cek Bukti Nomor Resi JNE &amp; Paket Yang Sudah Sampai ğŸ‘‡ğŸ» https://t.co/6CvcDa9EFh Daftar Menu ğŸ‘‡ğŸ» https://t.co/F43yRKMwwU https://t.co/DiXyPZZjZM,Netral
18,2023-02-14 13:18:39,Dyy_karS,"_ID Nih Perusahaan Lo Dicatut Buat Penipuan, Be Aware Ya Gaess https://t.co/hpc2Dtd2BU",Positif
19,2023-02-14 13:15:51,JNE_Blitar,"Jam operasional JNE Kalimantan 08.00-20.00 setiap hari, info CS: 0342-803071/085790510039 Pin 21239085. #JNEBLITAR",Netral
20,2023-02-14 13:15:08,Dyy_karS,_ID Nih Perusahaan Lo Dicatut Buat Penipuan. Hati2 gaesss https://t.co/4Y7TZHf4Mx,Netral
21,2023-02-14 13:12:22,Bucin_Jiminie,Syebel bet sama JNE ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­,Netral
22,2023-02-14 13:08:43,novwidia,_ID kenapa saya belum terima paket dengan nomer resi 300430001539823 sampai saat ini?,Netral
23,2023-02-14 12:55:19,camilleluckyan,Halooo _ID paket dikirim dari selasa kemarin pakai jne yes dan belum sampai juga kok cuman mau diganti rugi biaya pengirimannya aja? Loh saya sudah rugi waktu buat nungguin sama rugi biaya lah. Kenapa cuman ongkos kirimnya aja?,Netral
24,2023-02-14 12:53:00,vitauttu,"saya pesan pakai JNE YES tapi disini tulisannya paket sudah diterima tapi nyatanya saya belum menerima apa-apa? ini urgent loh saya pake JNE YES. saya sudah hubungi customer service katanya paket akan diinvestigasi, jaminan untuk saya kalau besok belum sampai apa? tidak https://t.co/0pcMp1MAVC",Netral
25,2023-02-14 12:40:59,poppaody,"#jneburuk #jne _ID apa apaan ini, pembelian 12 feb, service next day, sampai hari ini blm juga sampai. apa mksdnya ganti no resi segala?? https://t.co/40IM3TG0ZP",Netral
26,2023-02-14 12:15:56,baheerv,MANA BISA DIKASIH SEGEL FRAGIL. DIKIRA PAKET JNE,Netral
27,2023-02-14 12:15:47,JNE_Blitar,"Gunakan Debit Mandiri dan BRI sebagai pembayaran di JNE Kalimantan Blitar, Mudah dan Praktis.#JNEBLITAR",Netral
28,2023-02-14 12:13:24,andiiyusuff057,"Aku biasa kirim invoice, berkas MoU dan lain-lain pakai JNE sih",Netral
29,2023-02-14 12:12:53,JNEDEPOK_ID,"Utk rekan2 perusahaan/online shop yang mau langganan di JNE Abadi Sejahtera, kami jemput kirimannya &amp; ada penawaran menarik lainnya.",Netral
30,2023-02-14 12:05:18,ll_jujueyc,"huhuu akuu deket sm jnt,jne,sicepat,tiki,pos tpi ak dom solo nderrğŸ˜­ğŸ˜­ tpii misal minatt bolee dm yaağŸ˜ƒğŸ˜ƒ",Netral
31,2023-02-14 12:04:03,rdcellulaar,"Banyak produk Batre &amp; Powerbank di toko kami silahkan datang ke toko kami, untuk luar kota kirim via JNE",Netral
32,2023-02-14 12:03:54,ghibliprinces,"WTS Nike Air Rift ğŸšš 3 Maret Excl. JNE (dari Bekasi/Bandung) Stok promo cepet habis yaa ğŸ’µBlack, Pink 1,580k (EU 36.5, 43) ğŸ’µWhite 1,580k (EU 35, 42, 43) ğŸ’µ Grey 1,580k (EU 35, 36, 42, 43) tags. jastipjepang jastipjapan jasa titip belanja jepang wtb sepatu shoes https://t.co/DasD0uILTn",Negatif
33,2023-02-14 12:02:01,seokjinswolf,"wts skintific mugwort clay stick new (baru), ori, masih segel ğŸ’¸ 75.000 yaaa dijual karena salah beli + lg bu:"" ğŸ“Œpengiriman dari semarang ğŸ“Œpayment e-wallet/tf bank bri ğŸ“Œbisa shopee gratis ongkir NON extra ğŸ“Œjasa kirim JNE/J&amp;T ongkir ditanggung pembeli https://t.co/oDj4wypMGQ",Positif
34,2023-02-14 12:00:01,MarketPp48,"#WTS PP di pict, semua 150k, COD FX / JNE.. https://t.co/2HUsB7MVb9",Netral
35,2023-02-14 11:52:00,Harian_Jogja,"Narasumber : 1.Wakil Wali Kota Magelang, K.H.Drs.M.Mansyur, https://t.co/XReM2kufIG. 2.Kepala Cabang JNE Magelang, Bambang Kristiady Disiarkan langsung dari Joglo Animal Raiding, Taman Kyai Langgeng Kota Magelang.",Netral
36,2023-02-14 11:51:59,Harian_Jogja,"Harian Jogja bersama JNE Express akan menggelar â€œTalk Show Sinergi Ekspedisi dan UMKM Sukseskan Magelang Kerenâ€ pada: Rabu, 15 Februari 2023 Pukul 09.00 - 10.00 WIB",Netral
37,2023-02-14 11:49:42,anonymous1689,_ID cek dm min,Netral
38,2023-02-14 11:40:29,PuisiSex,bisakah jne cod,Netral
39,2023-02-14 11:40:15,fcsj48,"#WTS PP ALL Member Langka, COD FX / JNE. https://t.co/ZrmGAUkq8y",Netral
40,2023-02-14 11:35:31,txtdrikurir,"RT : Sicepat lelet bgt sih, orang jadi males pake sicepat. Gue kalo di Shopee mending Shopee express/JNT. Tokped pake anteraja samâ€¦",Netral
41,2023-02-14 11:33:45,gypsyelder_,lama bgt jne tolol,Netral
42,2023-02-14 11:27:08,fr_saja_dong,Itu nama layanan JNE yg lumayan murah. Kalau pakai reg agak mahal karena berat,Netral
43,2023-02-14 11:20:17,S_Rahmad_J,Paket saya juga sudah 5 hari belum jalan. Masih di daerah asal pengiriman statusnya. . Makin lama jne makin ga layak di pertahankan.,Netral
44,2023-02-14 11:16:30,ibutirilolela,Demi JTR kenapa lama sii tumben banget? _ID https://t.co/kfQj9xpjMz,Netral
45,2023-02-14 11:14:03,datdic_,"_ID Kelanjutannya dikenalin sm mas2 yg kerja di madukoro wkwk pake orang dalem deh akhirnya, sad but true",Negatif
46,2023-02-14 11:12:57,JNEDEPOK_ID,ayo yang masih butuh pengiriman via JNE Depok silahkan WA/call kami di 0821 70000323... bisa kami pick up loh dan gratis :),Positif
47,2023-02-14 11:12:26,kevin_leonardi,"tadi pihak JNE telepon saya, katanya transaksinya (di Shopee) di-cancel aja. Tapi nanti penjualnya dapet kompensasi gak tuh? Wong barangnya 'ngilang' di gudangnya JNE",Netral
48,2023-02-14 11:06:54,Undangan_Oci,"Aneh ya, gak masuk akal ğŸ˜. Baru baru ini aja begitu, dulunya enggak..sesuai di web jne lebih mahal dikit lah masih masuk logika..wajar kalau diup dikit. Tapi kalau sekarang gak masuk akal, cuma di aja bisa gitu ğŸ¤­ğŸ¤­ğŸ¤­. Tq min, mungkin di suruh pindah ke ekspedisi lain.",Netral
49,2023-02-14 10:53:55,Ronal06538811,_ID Kirim ke alamat biasa ya,Netral
50,2023-02-14 10:48:27,GondangrejoKRA,#Karanganyar https://t.co/bG2RgeHnli #JNE Karanganyar #asinua ğŸ‘ #karanganyar https://t.co/SRkjt5pA9H,Netral
51,2023-02-14 10:41:36,crimsonrubyy,JNE asu,Netral
52,2023-02-14 10:40:54,JAKENHYPENZ,Mauu cepattt jne in kalau perlu yg anterin dia https://t.co/5bYJr7iH2q,Netral
53,2023-02-14 10:15:47,JNE_Blitar,Petugas Cash Counter kami akan selalu melakukan pemeriksaan setiap paket yg akan dikirimkan sebelum barang diproses.#JNEBLITAR,Netral
54,2023-02-14 10:15:43,matchanabe,"Seru amat ambil almet trs foto"", yg almetnya dipaketin jne could never (soalnya pas oplen dah abis hype nya ğŸ‘ğŸ»)",Netral
55,2023-02-14 10:12:49,JNEDEPOK_ID,"Bila tim pick up JNE Abadi Sejahtera kurang berkenan atau kurang sopan dalam pelayanannya bisa mention kami utk ditindak lanjuti,terima kasih",Netral
56,2023-02-14 10:02:48,Tiaragat15,"Kira paket JNE untukku, ternyata dari pacar kakak untuk kakak. Anjay langsung kena mental coeg. Orang-orang pung valentine ni bikin gigi asam betul eğŸ¤£ğŸ™ğŸ»",Negatif
57,2023-02-14 10:00:59,boostsocmed,"Performa nya menurun Dulu awal2 bnr2 gercep, tp makin ksni makin sering ngambil ke gudang nya yg mana jauh. Buatku andalan tetep jnt dan jne",Netral
58,2023-02-14 09:55:37,menanamanggur,_29 JNE gak sih?,Netral
59,2023-02-14 09:50:34,sdnarm,"RT : 14 Februari Sebagai tanda cinta, kasih dan sayang saya kpd para pegiat literasi, pengelola Taman Bacaan Masyarakat (TBM), haâ€¦",Netral
60,2023-02-14 09:50:21,riesiteng,"paxel max jam 10 dari sda, nyampe malang hari yang sama abis maghrib, atau jne yes kalo mau yang sehari, drop pagi juga ke gerainya, kalo jnt ga ada kilat, jadi belom tentu sehari nyampe",Netral
61,2023-02-14 09:48:37,azaksaa,"Oke, kirim nya pake JNE ya",Netral
62,2023-02-14 09:47:50,azaksaa,"Oke, kirim nya pake JNE ya",Netral
63,2023-02-14 09:47:46,azaksaa,"Oke, kirim nya pake JNE ya",Netral
64,2023-02-14 09:44:21,Undangan_Oci,"maaf min mau tanya kok ongkir di marketplace itu bisa beda jauh banget ya untuk jne cargonya. Berikut saya lampirkan perbedaanya, jika dicek lewat MP tokped, web jne dan aplikasi shopee berat sama. Kok bisa ongkirnya di diluar nalar begitu ya. Tq ğŸ˜Š https://t.co/RiTQxe21LX",Netral
65,2023-02-14 09:42:41,Berrihamidi,"Hai min saya ingin lapor perihal pelayanan CS JNE Pamekasan. Terlepas dari masalah yang ada, cara bicara petugas sangat tidak ramah https://t.co/tagHd3mKyP",Netral
66,2023-02-14 09:30:32,RASYIDKOMP,"IKLANlaku JUAL BATERAY, CHARGER,LCD/LED LAPTOP MURAH BERGARANSI CP WA 085728557858 PIN 7456B44F kirim2 via jne, wahana, pahala",Netral
67,2023-02-14 09:26:52,Harian_Jogja,"Rabu, 15 Februari 2023 Pukul 09.00 - 10.00 WIB Narasumber : 1.Wakil Wali Kota Magelang, K.H.Drs.M.Mansyur, https://t.co/XReM2kufIG. 2.Kepala Cabang JNE Magelang, Bambang Kristiady Disiarkan langsung dari Joglo Animal Raiding, Taman Kyai Langgeng Kota Magelang.",Netral
68,2023-02-14 09:26:51,Harian_Jogja,Harian Jogja bersama JNE Express akan menggelar â€œTalk Show Sinergi Ekspedisi dan UMKM Sukseskan Magelang Kerenâ€ pada:,Netral
69,2023-02-14 09:24:50,AryonoIgnatius,"RT : 14 Februari Sebagai tanda cinta, kasih dan sayang saya kpd para pegiat literasi, pengelola Taman Bacaan Masyarakat (TBM), haâ€¦",Netral
70,2023-02-14 09:15:48,JNE_Blitar,Untuk kiriman yg menjangkau seluruh kecamatan di Indonesia gunakan service JNE REGULAR..,Netral
71,2023-02-14 09:12:56,JNEDEPOK_ID,"Punya ol shop? Tp suka males antri kirim paket? Kami solusinya. Spesialis jemput paket via JNE di Kota Depok , WA/call di 0856 8000027",Netral
72,2023-02-14 08:59:58,MarketPp48,"#WTS PP GC HS, yg set harus set, COD Fx / JNE.. https://t.co/i1CeEqxxXJ",Netral
73,2023-02-14 08:58:30,arashikevinn,Awalnya Rp 6.049.000 dapet potongan 400k jadi Rp 5.762.080 Ini udah include Biaya Asuransi (Meminimalisir kalo terjadi apa2) dan Include Biaya Pengiriman Jakarta ke Surabaya (Kirim barang elektronik pake JNE aja) Bisaa juga Checkout Packaging Kayu 30k biar lebih aman,Netral
74,2023-02-14 08:56:05,lersing10,"hai JNE paket saya ke SULUT kok belum sampai""",Netral
75,2023-02-14 08:42:13,skulpkidz,"di bandungs aya kedai jiga warpopskay teu yes, jne euyyy",Netral
76,2023-02-14 08:41:00,cat_____to,"_Friends Iya jne trucking 13 hari, meanwhile pake jnt cargo 6 harian nyampe sama-sama dari jawa hahaha",Positif
77,2023-02-14 08:40:57,svokap,Jne in aje,Netral
78,2023-02-14 08:40:09,fcsj48,#WTS PP Kalender 2016 di pict. CP di bio. COD FX / JNE. Thx. https://t.co/MlNEGv43rP,Netral
79,2023-02-14 08:32:31,JNE_RPW,MENFESS 24 JAM! PAKET KILAT! FREE FOR RP! JUST DM ! PASTI DI POST,Positif
80,2023-02-14 08:18:52,__catpaws,{ Memandang ngab jne penuh cinta } PAMER DULUUU aku dapet hadiah made by love by pacar aslinya Eyri. Walau diduain tapi hubungan aku dan Jeanne sang pelukis legendaris tetep bisa akurâ€¦ mwahâ€¦ kisu. &lt;3 https://t.co/yu5oZMwuRN,Positif
81,2023-02-14 08:17:06,Harian_Jogja,"Narasumber : 1.Wakil Wali Kota Magelang, K.H.Drs.M.Mansyur, https://t.co/XReM2kufIG. 2.Kepala Cabang JNE Magelang, Bambang Kristiady Disiarkan langsung dari Joglo Animal Raiding, Taman Kyai Langgeng Kota Magelang.",Netral
82,2023-02-14 08:17:05,Harian_Jogja,"Harian Jogja bersama JNE Express akan menggelar â€œTalk Show Sinergi Ekspedisi dan UMKM Sukseskan Magelang Kerenâ€ pada: Rabu, 15 Februari 2023 Pukul 09.00 - 10.00 WIB",Netral
83,2023-02-14 08:15:48,JNE_Blitar,"Apapun Kirimannya, Pastikan kirimnya melalui JNE Kalimantan Blitar. Trace &amp; Tracking sampe tuntas.#JNEBLITAR",Netral
84,2023-02-14 08:13:29,itsyourboyjey,Jadi di paketin dulu pake JNE ya?,Netral
85,2023-02-14 08:06:13,Trias0405,Paling bener JNE pake pengiriman reguler sj.,Netral
86,2023-02-14 08:06:13,Trias0405,Sangat tidak disarankan memang pakai jasa Next Day _ID ğŸ˜…ğŸ˜…ğŸ˜…,Netral
87,2023-02-14 08:00:40,seringeluh,masa paket jkt-mlg aja sampe semingguan sendiri woi ğŸ¤¬ğŸ¤¬ğŸ¤¬ cek di resi terakhir di blg nobody at home pdhl jam segitu ada di rmh gilak kacau bgt jne mlg,Netral
88,2023-02-14 07:59:10,eleventees,"RT : 14 Februari Sebagai tanda cinta, kasih dan sayang saya kpd para pegiat literasi, pengelola Taman Bacaan Masyarakat (TBM), haâ€¦",Netral
89,2023-02-14 07:56:00,estananto,Gw sdh complain ke . Katanya akan investigasi ke kurir. Kita lihat apakah ada kemajuannya. JNE sama sekali gak update sejak 10 Februari. Janjinya 13 Februari nyampe. Gw butuh banget itu barang. Tidak ada keterangan sama sekali dari JNE.,Netral
90,2023-02-14 07:53:17,bbybbyyy_,Percuma bayar mahal mahal pake jne yes claimnya satu hari sampai . Ternyata gak sampe sampe anjir RUGI GUEEEEEE. Maksud hati biar cpt sampe karna itu barang urgent bisabisa nya gasampe juga mending pake reguler yawllah kesel gimna sih layanannya _ID,Netral
91,2023-02-14 07:48:31,FaridTT2,"Twitter, show your magic ğŸ˜¥ Akun Tokopedia saya diretas, ada 8 kali penarikan Saldo ke 3 rekening yang berbeda, dengan jumlah sekitar Rp. 8 juta Kronologis: 1. Jumat, 10 Februari 2023 Pesan Whatsapp masuk, mengatasnamakan JNE, dengan Foto Profil JNE #tokopedia #hacker https://t.co/L04r1Sj5s8",Positif
92,2023-02-14 07:45:24,sellerbokepHD,"RT _16: Mohon RT / Like, thank uğŸ˜€ğŸ™ğŸ¼ ğŸ“š Dijual Buku Import Preloved ğŸ“š â€¢ pengiriman dari Surabaya â€¢ original / asli â€¢ koleksi pribâ€¦",Positif
93,2023-02-14 07:44:09,paduaras,"halo _ID, jne ada jasa packing barang ga ya? misalnya packing gitar pake kardus gitar + kayu.",Netral
94,2023-02-14 07:40:16,fcsj48,"#WTS PP di pict, semua 150k, COD FX / JNE.. https://t.co/kKwT8AFEM3",Netral
95,2023-02-14 07:38:55,findyourhen,_ID Min cek dm,Netral
96,2023-02-14 07:38:39,JNE_DPS,#TemanJNE sudah kirim hadiah untuk orang tersayang hari ini? JNE Denpasar X Mr.Kurir siap anterin paket kamu untuk orang tersayangğŸ¤— Jangan lupa sebarkan kebahagiaan di Hari Kasih Sayang ini yağŸ¥° #JNE #ConnectingHappiness #JNE32Tahun #JNEBangkitBersama #JNEDenpasar https://t.co/Ak9LeGLVeO,Netral
97,2023-02-14 07:38:37,missufeyt,"WTS makeup dan skincare last stock yg masih baru with box. Dom Malang bisa COD, paymen by Dana/BCA. Shipping by J&amp;T atau JNE yakk #zonauangï¸ #zonajajan #zonaba #zonaBU https://t.co/ry6tsfYjh5",Netral
98,2023-02-14 07:38:31,missufeyt,"WTS makeup dan skincare last stock yg masih baru with box. Dom Malang bisa COD, paymen by Dana/BCA. Shipping by J&amp;T atau JNE yakk #zonauangï¸ #zonajajan #zonaba #zonaBU https://t.co/W0h1sv5BTz",Netral
99,2023-02-14 07:29:35,FaridTT2,"Hai kak, akun Tokopedia Seller saya diretas sejak Jumat 10 Februari 2023 lalu Si penyusup sudah menarik Saldo Tokopedia sebesar sekitar Rp. 8 juta Awalnya lewat pesan sebagai kurir JNE, lalu suruh download APK Setelah itu ada penarikan #tokopedia #penipuan #peretasan #hacker https://t.co/MyV856Eug7",Netral
